,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,symbol,name,area,industry,list_date,证券代码,证券名称,一级行业代码,一级行业名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称,四级行业代码,四级行业名称,个股静态市盈率,个股滚动市盈率,个股市净率,个股股息率,is_up
535,002020.SZ,20250620,13.12,13.18,13.01,13.02,13.12,-0.1,-0.7622,91024.3,118822.003,002020,京新药业,浙江,化学制药,20040715,002020,京新药业,35,医药卫生,3520,医药,352020,化学药,35202020,药品制剂,17.06,17.26,2.14,2.34,False
536,002021.SZ,20250620,2.2,2.23,2.18,2.18,2.21,-0.03,-1.3575,150775.0,33153.479,002021,中捷资源,浙江,纺织机械,20040715,002021,中捷资源,20,工业,2040,机械制造,204020,专用机械,20402050,纺织服装机械,154.04,142.79,4.24,-,False
537,002022.SZ,20250620,5.85,5.9,5.8,5.8,5.83,-0.03,-0.5146,47065.0,27524.806,002022,科华生物,上海,医疗保健,20040721,002022,科华生物,35,医药卫生,3510,医疗,351010,医疗器械,35101030,体外诊断,-,-,0.94,-,False
538,002023.SZ,20250620,10.02,10.1,9.96,10.03,10.07,-0.04,-0.3972,85078.0,85320.723,002023,海特高新,四川,航空,20040721,002023,海特高新,20,工业,2010,航空航天与国防,201010,航空航天,20101010,航空,108.60,120.35,1.79,0.48,False
539,002024.SZ,20250620,1.87,1.9,1.85,1.87,1.83,0.04,2.1858,215051.25,40397.699,002024,ST易购,江苏,电器连锁,20040721,002024,ST易购,25,可选消费,2550,零售业,255020,专营零售,25502010,专营零售,27.92,23.50,1.35,-,True
540,002025.SZ,20250620,46.26,46.3,45.61,45.7,46.4,-0.7,-1.5086,36279.01,166547.068,002025,航天电器,贵州,元器件,20040726,002025,航天电器,20,工业,2010,航空航天与国防,201010,航空航天,20101020,航天,61.49,126.92,3.28,0.81,False
541,002026.SZ,20250620,11.0,11.85,10.99,11.48,11.01,0.47,4.2688,285391.01,329490.563,002026,山东威达,山东,机械基件,20040727,002026,山东威达,20,工业,2040,机械制造,204010,通用机械,20401070,其他通用机械,16.87,16.84,1.37,1.58,True
542,002027.SZ,20250620,6.99,7.03,6.92,7.01,7.02,-0.01,-0.1425,1048457.15,732093.6,002027,分众传媒,广东,广告包装,20040804,002027,分众传媒,50,通信服务,5030,传媒,503010,营销与广告,50301020,其他广告营销,19.95,19.58,5.65,6.04,False
543,002028.SZ,20250620,73.1,73.69,72.98,73.4,73.33,0.07,0.0955,18688.22,137084.579,002028,思源电气,上海,电气设备,20040805,002028,思源电气,20,工业,2030,电力设备,203020,电网设备,20302030,配电设备,27.33,26.27,4.35,0.55,True
544,002029.SZ,20250620,6.65,6.72,6.61,6.7,6.64,0.06,0.9036,73566.0,49119.297,002029,七匹狼,福建,服饰,20040806,002029,七匹狼,25,可选消费,2530,纺织服装与珠宝,253010,纺织服装,25301020,服装,16.95,14.71,0.72,1.75,True
545,002030.SZ,20250620,5.75,5.81,5.74,5.76,5.76,0.0,0.0,81971.85,47377.906,002030,达安基因,广东,医疗保健,20040809,002030,达安基因,35,医药卫生,3510,医疗,351010,医疗器械,35101030,体外诊断,-,-,1.05,0.25,False
546,002031.SZ,20250620,7.83,7.89,7.61,7.62,7.9,-0.28,-3.5443,714098.14,550354.602,002031,巨轮智能,广东,汽车配件,20040816,002031,巨轮智能,20,工业,2040,机械制造,204020,专用机械,20402080,其他专用机械,-,-,8.10,-,False
547,002032.SZ,20250620,53.14,53.48,52.86,52.95,53.09,-0.14,-0.2637,12665.38,67394.495,002032,苏泊尔,浙江,家用电器,20040817,002032,苏泊尔,25,可选消费,2520,耐用消费品,252010,家用电器,25201030,小家电,18.86,18.63,6.11,5.29,False
548,002033.SZ,20250620,8.47,8.51,8.42,8.43,8.47,-0.04,-0.4723,48045.3,40648.03,002033,丽江股份,云南,旅游景点,20040825,002033,丽江股份,25,可选消费,2540,消费者服务,254010,休闲服务,25401010,景点,22.31,24.82,1.84,4.09,False
549,002034.SZ,20250620,16.47,16.65,16.4,16.46,16.44,0.02,0.1217,21961.17,36207.49,002034,旺能环境,浙江,环境保护,20040826,002034,旺能环境,20,工业,2050,环保,205010,污染治理,20501010,固废处理,13.09,12.66,1.07,2.92,True
550,002035.SZ,20250620,6.39,6.43,6.38,6.38,6.35,0.03,0.4724,51189.0,32755.257,002035,华帝股份,广东,家用电器,20040901,002035,华帝股份,25,可选消费,2520,耐用消费品,252010,家用电器,25201050,厨卫电器,11.32,11.75,1.41,4.55,True
551,002036.SZ,20250620,9.9,10.0,9.8,9.84,9.91,-0.07,-0.7064,188556.01,186398.007,002036,联创电子,江西,元器件,20040903,002036,联创电子,45,信息技术,4520,电子,452030,光学光电子,45203030,光学元件,-,-,4.81,-,False
552,002037.SZ,20250620,8.55,9.16,8.55,8.71,8.59,0.12,1.397,180523.0,158666.951,002037,保利联合,贵州,化工原料,20040908,002037,保利联合,15,原材料,1510,化工,151040,化学制品,15104010,民爆制品,117.07,101.48,2.43,-,True
553,002038.SZ,20250620,7.12,7.16,7.05,7.05,7.13,-0.08,-1.122,122865.0,87280.508,002038,双鹭药业,北京,生物制药,20040909,002038,双鹭药业,35,医药卫生,3520,医药,352010,生物药品,35201030,其他生物药品,-,-,1.35,2.03,False
554,002039.SZ,20250620,15.79,15.86,15.71,15.71,15.8,-0.09,-0.5696,32362.0,51004.919,002039,黔源电力,贵州,水力发电,20050303,002039,黔源电力,55,公用事业,5510,公用事业,551010,电力及电网,55101020,水电,31.06,26.22,1.71,1.83,False
555,002040.SZ,20250620,10.32,11.2,10.07,10.64,10.41,0.23,2.2094,512399.5,551750.947,002040,南京港,江苏,港口,20050325,002040,南京港,20,工业,2070,交通运输,207020,交通基本设施,20702020,港口,38.03,36.40,1.75,0.86,True
556,002041.SZ,20250620,9.62,9.7,9.61,9.63,9.62,0.01,0.104,43971.05,42401.348,002041,登海种业,山东,种植业,20050418,002041,登海种业,30,主要消费,3020,农牧渔,302010,种植,30201020,种业,153.54,170.18,2.40,0.29,True
557,002042.SZ,20250620,4.48,4.5,4.42,4.47,4.47,0.0,0.0,158136.0,70440.734,002042,华孚时尚,安徽,纺织,20050427,002042,华孚时尚,25,可选消费,2530,纺织服装与珠宝,253010,纺织服装,25301010,纺织品,-,-,1.37,0.63,False
558,002043.SZ,20250620,9.8,9.88,9.75,9.75,9.83,-0.08,-0.8138,46453.0,45489.649,002043,兔宝宝,浙江,其他建材,20050510,002043,兔宝宝,15,原材料,1550,造纸与包装,155020,纸类与林业产品,15502010,林业产品,14.43,14.13,2.68,5.84,False
